City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Jacareacanga,BR,75.24,overcast clouds,-6.22,-57.76,Casa do Ian😎
438,Grand Gaube,MU,80.6,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
443,Araouane,ML,75.76,clear sky,18.9,-3.53,
446,Cap Malheureux,MU,77.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
462,Cayenne,GF,75.2,broken clouds,4.94,-52.33,Hôtel Le Dronmi
467,Noumea,NC,82.4,broken clouds,-22.28,166.46,Hôtel Le Lagon
472,Etah,IN,84.51,clear sky,27.56,78.66,"HOTEL SHIKHAR, Etah"
481,Bealanana,MG,76.37,overcast clouds,-14.54,48.75,
484,Ligayan,PH,83.79,scattered clouds,4.65,119.47,
485,Quatre Cocos,MU,80.6,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
487,Vanimo,PG,84.58,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
492,San Rafael Del Sur,NI,77.0,scattered clouds,11.85,-86.44,Zammy T&T
494,Cabo San Lucas,MX,77.0,overcast clouds,22.89,-109.91,Tesoro Los Cabos
496,Impfondo,CD,76.15,few clouds,1.62,18.06,Préfecture de la Likouala
499,Anloga,GH,77.0,few clouds,5.79,0.9,Pin Drop Hotel
513,Inongo,CD,75.4,scattered clouds,-1.93,18.29,Hotel Du Lac
517,Vila Do Maio,CV,75.2,few clouds,15.13,-23.22,Residence 'I Delfini'
518,Kothapet,IN,82.4,mist,17.37,78.55,OYO 722 Hotel Swagath Grand
522,Lashio,MM,80.58,scattered clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
524,Narrabri,AU,87.8,clear sky,-30.33,149.78,Crossroads Hotel
526,Ugoofaaru,MV,82.92,broken clouds,5.67,73.0,Ungoofaaru Inn
527,Lufilufi,WS,86.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort
536,Dzaoudzi,YT,84.2,broken clouds,-12.79,45.27,Le Rocher
542,Flic En Flac,MU,80.6,broken clouds,-20.27,57.36,Hilton Mauritius Resort & Spa
